,delta_da,label,counts,score,dC,dH,dN,dO
49,22.04186481295,H+6 O+1,"{'H': 6, 'O': 1}",22.04186481295,0,6,0,1
50,23.96361449065,C+1 H-4 O+1,"{'C': 1, 'H': -4, 'O': 1}",32.026214748490005,1,-4,0,1
51,24.0,C+2,{'C': 2},24.0,2,0,0,0
52,24.03638550935,C+3 H+4 O-1,"{'C': 3, 'H': 4, 'O': -1}",56.026214748490005,3,4,0,-1
53,24.072771018700003,C+4 H+8 O-2,"{'C': 4, 'H': 8, 'O': -2}",88.05242949698001,4,8,0,-2
54,25.94287904576,H+6 O-2,"{'H': 6, 'O': -2}",38.03677943252,0,6,0,-2
55,25.97926455511,C+1 H-2 O+1,"{'C': 1, 'H': -2, 'O': 1}",30.01056468403,1,-2,0,1
56,26.01565006446,C+2 H+2,"{'C': 2, 'H': 2}",26.01565006446,2,2,0,0
57,26.05203557381,C+3 H+6 O-1,"{'C': 3, 'H': 6, 'O': -1}",58.041864812949996,3,6,0,-1
58,27.95852911022,H+4 O-2,"{'H': 4, 'O': -2}",36.02112936806,0,4,0,-2
59,27.99491461957,C+1 O+1,"{'C': 1, 'O': 1}",27.99491461957,1,0,0,1
60,28.03130012892,C+2 H+4,"{'C': 2, 'H': 4}",28.03130012892,2,4,0,0
61,28.067685638270003,C+3 H+8 O-1,"{'C': 3, 'H': 8, 'O': -1}",60.05751487741,3,8,0,-1
62,29.97417917468,H+2 O-2,"{'H': 2, 'O': -2}",34.0054793036,0,2,0,-2
63,30.01056468403,C+1 H+2 O+1,"{'C': 1, 'H': 2, 'O': 1}",30.01056468403,1,2,0,1
64,30.04695019338,C+2 H+6,"{'C': 2, 'H': 6}",30.04695019338,2,6,0,0
65,31.953443729790003,C+1 H+4 O-3,"{'C': 1, 'H': 4, 'O': -3}",64.01604398763001,1,4,0,-3
66,31.98982923914,O+2,{'O': 2},31.98982923914,0,0,0,2
67,32.026214748490005,C+1 H+4 O+1,"{'C': 1, 'H': 4, 'O': 1}",32.026214748490005,1,4,0,1
68,32.06260025784,C+2 H+8,"{'C': 2, 'H': 8}",32.06260025784,2,8,0,0
69,33.96909379425,C+1 H+2 O-3,"{'C': 1, 'H': 2, 'O': -3}",62.00039392317001,1,2,0,-3
70,33.98434993554,C+3 H-2,"{'C': 3, 'H': -2}",38.01565006446,3,-2,0,0
71,34.0054793036,H+2 O+2,"{'H': 2, 'O': 2}",34.0054793036,0,2,0,2
72,34.02073544488999,C+4 H+2 O-1,"{'C': 4, 'H': 2, 'O': -1}",66.01056468403,4,2,0,-1
73,34.04186481295,C+1 H+6 O+1,"{'C': 1, 'H': 6, 'O': 1}",34.041864812949996,1,6,0,1
74,35.96361449065,C+2 H-4 O+1,"{'C': 2, 'H': -4, 'O': 1}",44.026214748490005,2,-4,0,1
75,35.984743858710004,C+1 O-3,"{'C': 1, 'O': -3}",59.984743858710004,1,0,0,-3
76,36.0,C+3,{'C': 3},36.0,3,0,0,0
